id	Group	faith_pd
FMT.C571	C57	97.9248508746033
FMT.C572	C57	92.8589840914034
FMT.C573	C57	79.0176178826487
FMT.C574	C57	93.9734174841444
FMT.C575	C57	91.9578409538148
FMT.SHED1	SHED	62.0644045953822
FMT.SHED2	SHED	81.0970828141859
FMT.SHED3	SHED	81.4088816419679
FMT.SHED4	SHED	82.3840001391651
FMT.ADSC1	ADSC	101.737701679089
FMT.ADSC2	ADSC	85.1584788702176
FMT.ADSC3	ADSC	82.7426530216938
FMT.ADSC4	ADSC	88.360216317439
FMT.ADSC5	ADSC	78.0414620190978
FMT.HUCMSC1	HUCMSC	87.6906144410138
FMT.HUCMSC2	HUCMSC	77.5148288077736
FMT.HUCMSC3	HUCMSC	67.7570575449402
FMT.HUCMSC4	HUCMSC	71.0281617149798
FMT.HUCMSC5	HUCMSC	76.8321294218823
FMT.NACL1	NACL	66.1429299353816
FMT.NACL3	NACL	84.5493235373478
FMT.NACL4	NACL	66.7019614328167
FMT.NACL5	NACL	74.53911678865
