taxonomy	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
Helicobacter	1030.0	568.0	529.0	638.0	628.0	115.0	284.0	194.0	301.0	236.0	2390.0	734.0	115.0	222.0	69.0	114.0	47.0	144.0	118.0	168.0	134.0	86.0	492.0	420.0	942.0
Ileibacterium	562.0	641.0	592.0	546.0	451.0	2209.0	1451.0	1051.0	584.0	620.0	264.0	270.0	218.0	732.0	1598.0	1745.0	474.0	1356.0	1681.0	1874.0	1052.0	636.0	522.0	1010.0	151.0
Intestinibacter	0.0	0.0	0.0	11.0	0.0	19.0	6.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Intestinimonas	182.0	286.0	200.0	206.0	184.0	127.0	182.0	124.0	72.0	83.0	266.0	178.0	0.0	45.0	25.0	24.0	45.0	29.0	53.0	55.0	34.0	31.0	146.0	148.0	14.0
Kocuria	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	18.0	38.0	0.0	0.0	0.0	9.0	0.0	0.0
Lachnoclostridium	293.0	218.0	219.0	178.0	228.0	330.0	286.0	304.0	185.0	175.0	289.0	253.0	50.0	72.0	63.0	76.0	537.0	180.0	129.0	123.0	57.0	49.0	170.0	155.0	67.0
Leptotrichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marvinbryantia	130.0	68.0	151.0	174.0	49.0	92.0	122.0	67.0	97.0	99.0	68.0	126.0	45.0	14.0	61.0	30.0	391.0	32.0	30.0	47.0	15.0	30.0	54.0	44.0	28.0
Methylobacterium	11.0	18.0	9.0	5.0	7.0	10.0	9.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	35.0	57.0	854.0	161.0	1116.0	53.0	0.0	0.0	235.0	11.0	0.0
Microvirga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
Modestobacter	0.0	0.0	0.0	0.0	0.0	4.0	11.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nevskia	0.0	0.0	0.0	0.0	0.0	2.0	8.0	4.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Nitrospira	0.0	0.0	0.0	0.0	0.0	14.0	19.0	11.0	10.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0
Ochrobactrum	28.0	30.0	19.0	10.0	15.0	74.0	80.0	56.0	52.0	46.0	8.0	19.0	8.0	6.0	14.0	36.0	75.0	10.0	20.0	0.0	10.0	29.0	0.0	31.0	3.0
Oscillibacter	225.0	194.0	154.0	150.0	274.0	71.0	129.0	134.0	75.0	57.0	314.0	223.0	24.0	72.0	14.0	33.0	107.0	13.0	8.0	21.0	25.0	22.0	125.0	96.0	62.0
Parabacteroides	736.0	140.0	214.0	169.0	57.0	77.0	69.0	26.0	45.0	35.0	99.0	121.0	41.0	58.0	19.0	25.0	22.0	14.0	11.0	24.0	32.0	18.0	166.0	255.0	19.0
Paraclostridium	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	26.0	0.0
Pedobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptoniphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
