taxonomy	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
Peptoniphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.33	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0
Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0
Phenylobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Plantibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Pontibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.0	0.0	0.0	0.0	9.38	12.15	5.21	10.07	13.19	0.0	0.0	0.0	0.0	0.0	0.0	7.29	0.0	0.0	0.0	4.86	6.25	0.0	0.0	0.0
Pseudonocardia	35.52	34.63	35.82	26.27	39.7	46.27	36.42	20.9	28.36	25.37	48.36	30.75	8.66	9.25	13.13	34.63	144.48	28.66	39.7	29.55	8.66	6.27	17.31	23.28	1.49
Romboutsia	0.0	0.31	0.0	0.0	0.0	7.44	7.06	5.69	5.88	6.0	0.0	0.56	0.0	0.0	0.0	0.0	4.81	0.0	0.0	0.19	1.25	3.5	0.0	0.0	0.0
Roseburia	61.6	283.0	43.2	56.2	47.8	53.0	43.2	69.8	45.0	37.2	46.0	39.6	11.8	17.0	9.4	23.2	41.0	19.8	19.2	18.0	11.0	17.8	45.2	43.8	21.6
Rubrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium	9.54	19.23	13.85	5.85	10.92	6.92	10.15	8.92	5.69	3.69	28.0	16.77	2.92	3.54	3.08	6.15	1.69	2.31	1.08	0.46	3.54	3.54	4.92	7.85	0.0
Ruminococcus	0.0	0.0	0.95	0.0	0.0	8.57	8.33	7.62	2.62	5.24	0.0	0.0	0.0	0.0	0.0	0.0	226.67	0.0	0.24	0.0	0.0	2.62	3.57	0.0	0.0
Sphingomonas	94.68	96.81	42.02	55.32	51.6	65.43	102.13	65.43	81.91	62.23	68.62	45.74	9.57	19.68	459.57	536.7	7096.81	2390.96	9959.57	618.62	17.02	27.13	825.53	60.64	18.09
Streptomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.42	1.45	2.9	0.0	0.0	0.0	0.0	0.0	0.0
Subdoligranulum	0.0	0.0	0.0	0.0	0.0	10.4	9.6	5.6	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	419.2	0.0	0.0	0.0	0.0	0.0	10.4	0.0	0.0
Sulfuricurvum	0.0	8.33	0.0	0.0	0.0	3.33	0.0	3.67	2.67	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0
Terrisporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22	0.0	0.0	0.0	0.0	0.0	10.82	0.0	0.0
Truepera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Turicibacter	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.7	0.0	0.0	0.0	0.1	0.2	0.0	0.2	0.1	0.0	0.0	0.3	0.0	0.0	0.0	0.2	0.0	0.0
Tyzzerella	10.0	23.0	19.0	13.0	0.0	17.0	36.0	18.0	6.0	3.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	9.0	8.0	11.0	0.0	0.0
