	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4
FMT.ADSC1	0	0.3699010610580444	0.3616533279418945	0.2319877743721008	0.4574234783649445	0.5039138197898865	0.4447948932647705	0.342056930065155	0.1976301968097687	0.350640594959259	0.2657908797264099	0.2090102285146713	0.3302401006221771	0.2667422294616699	0.3109116852283478	0.591594934463501	1.011368036270142	0.7742409110069275	0.7309399843215942	0.5584293603897095	0.3812823295593262	0.2963470816612244	0.3017928600311279	0.5723161101341248
FMT.ADSC2	0.3699010610580444	0	0.5604950189590454	0.4195302128791809	0.2886576652526855	0.6995794177055359	0.6484191417694092	0.4682999849319458	0.4069914519786835	0.5469309091567993	0.2659275233745575	0.3922299146652222	0.5172614455223083	0.4156790971755981	0.501412034034729	0.8173670768737793	1.217610716819763	0.9925755262374878	0.7167200446128845	0.7706111669540405	0.5942865610122681	0.4802208840847015	0.3356797099113464	0.7687098383903503
FMT.ADSC3	0.3616533279418945	0.5604950189590454	0	0.1778783798217773	0.6721504926681519	0.308320015668869	0.3383089303970337	0.546038031578064	0.3018527626991272	0.1364620178937912	0.4654747247695923	0.3427838683128357	0.2353196740150452	0.3396090269088745	0.3287492990493774	0.3863192796707153	0.9445173740386963	0.7278274297714233	0.9306954145431519	0.3766319453716278	0.2109077721834183	0.3044113218784332	0.3992144465446472	0.3033949732780457
FMT.ADSC4	0.2319877743721008	0.4195302128791809	0.1778783798217773	0	0.5297282934188843	0.4081280827522278	0.420184463262558	0.4046970903873444	0.1850977540016174	0.2282572984695435	0.3403246104717255	0.2042656242847443	0.1743836104869843	0.2043721228837967	0.2011163234710693	0.4906131625175476	1.033276796340942	0.8146976828575134	0.7979172468185425	0.4794957041740417	0.3041614592075348	0.1866484582424164	0.256834089756012	0.414465606212616
FMT.ADSC5	0.4574234783649445	0.2886576652526855	0.6721504926681519	0.5297282934188843	0	0.7763445377349854	0.5321445465087891	0.2343539297580719	0.4846650958061218	0.6307851076126099	0.3229925632476807	0.3778157830238342	0.6071524620056152	0.494750440120697	0.6077362895011902	0.9269713163375854	1.099632501602173	0.8857229948043823	0.5745779871940613	0.862895131111145	0.6961526870727539	0.530495285987854	0.430173248052597	0.8699707984924316
FMT.C571	0.5039138197898865	0.6995794177055359	0.308320015668869	0.4081280827522278	0.7763445377349854	0	0.291009396314621	0.6024832725524902	0.4264591634273529	0.2458064705133438	0.6139386892318726	0.4585959315299988	0.4305281043052673	0.4767666459083557	0.4583144187927246	0.2703778743743896	0.7500516176223755	0.5223012566566467	1.013932943344116	0.2007698714733124	0.2645322680473328	0.3634198904037476	0.5280081033706665	0.2350623607635498
FMT.C572	0.4447948932647705	0.6484191417694092	0.3383089303970337	0.420184463262558	0.5321445465087891	0.291009396314621	0	0.3594948053359985	0.3868134021759033	0.2620957493782043	0.5429251194000244	0.3564340472221375	0.4433005452156067	0.4948113858699799	0.4934631586074829	0.5036351680755615	0.7526044845581055	0.5409331321716309	0.8152493238449097	0.4362260699272156	0.2808009386062622	0.3555249869823456	0.54854816198349	0.4683344066143036
FMT.C573	0.342056930065155	0.4682999849319458	0.546038031578064	0.4046970903873444	0.2343539297580719	0.6024832725524902	0.3594948053359985	0	0.3394837081432343	0.4836165904998779	0.3760699927806854	0.2681043148040771	0.4790003895759583	0.3520330190658569	0.4577465057373047	0.7758562564849854	0.931583046913147	0.7160297036170959	0.5284936428070068	0.7099143266677856	0.5341096520423889	0.3700062334537506	0.3879828751087189	0.7418134808540344
FMT.C574	0.1976301968097687	0.4069914519786835	0.3018527626991272	0.1850977540016174	0.4846650958061218	0.4264591634273529	0.3868134021759033	0.3394837081432343	0	0.2601020634174347	0.2477191686630249	0.2089292407035828	0.3020305931568146	0.2872944474220276	0.2737271785736084	0.5718594789505005	0.9680130481719971	0.7579931616783142	0.7424451112747192	0.5196376442909241	0.3129136860370636	0.2188255339860916	0.3071133196353912	0.5342336297035217
FMT.C575	0.350640594959259	0.5469309091567993	0.1364620178937912	0.2282572984695435	0.6307851076126099	0.2458064705133438	0.2620957493782043	0.4836165904998779	0.2601020634174347	0	0.4527418613433838	0.3048931360244751	0.2621509432792664	0.3282280564308167	0.3201576471328735	0.3712006807327271	0.8746077418327332	0.664261519908905	0.8931164145469666	0.3341364860534668	0.1521730720996857	0.2549228668212891	0.3872219920158386	0.3256045281887054
